resource_id,title,description,domain,resource_type,difficulty,duration_minutes,url,tags,created_at
30,Tutorial: Literature - Resource 30,A comprehensive tutorial about Literature covering key concepts and practical examples.,Literature,Tutorial,Intermediate,63,https://example.com/resources/30,Chemistry,2025-08-04T07:42:45.988980
31,Tutorial: History - Resource 31,A comprehensive tutorial about History covering key concepts and practical examples.,History,Tutorial,Advanced,12,https://example.com/resources/31,History|Art|Computer Science,2025-08-21T07:42:45.988980
32,Quiz: Biology - Resource 32,A comprehensive quiz about Biology covering key concepts and practical examples.,Biology,Quiz,Intermediate,78,https://example.com/resources/32,Music|Chemistry|Art,2025-09-24T07:42:45.989538
33,Quiz: Biology - Resource 33,A comprehensive quiz about Biology covering key concepts and practical examples.,Biology,Quiz,Intermediate,13,https://example.com/resources/33,Literature|History,2025-10-08T07:42:45.989538
34,Article: Art - Resource 34,A comprehensive article about Art covering key concepts and practical examples.,Art,Article,Advanced,78,https://example.com/resources/34,History,2025-06-21T07:42:45.989538
35,Book: Philosophy - Resource 35,A comprehensive book about Philosophy covering key concepts and practical examples.,Philosophy,Book,Beginner,20,https://example.com/resources/35,History|Physics|Art,2025-10-04T07:42:45.989538
36,Exercise: Computer Science - Resource 36,A comprehensive exercise about Computer Science covering key concepts and practical examples.,Computer Science,Exercise,Intermediate,51,https://example.com/resources/36,Art,2025-08-28T07:42:45.989538
37,Quiz: Literature - Resource 37,A comprehensive quiz about Literature covering key concepts and practical examples.,Literature,Quiz,Intermediate,106,https://example.com/resources/37,Biology|Mathematics,2025-07-22T07:42:45.989538
38,Book: Computer Science - Resource 38,A comprehensive book about Computer Science covering key concepts and practical examples.,Computer Science,Book,Advanced,16,https://example.com/resources/38,Chemistry|Mathematics,2025-06-06T07:42:45.989538
39,Video: Computer Science - Resource 39,A comprehensive video about Computer Science covering key concepts and practical examples.,Computer Science,Video,Beginner,35,https://example.com/resources/39,Philosophy,2025-10-11T07:42:45.989538
40,Article: Chemistry - Resource 40,A comprehensive article about Chemistry covering key concepts and practical examples.,Chemistry,Article,Intermediate,95,https://example.com/resources/40,Philosophy,2025-09-25T07:42:45.989538
41,Book: Art - Resource 41,A comprehensive book about Art covering key concepts and practical examples.,Art,Book,Intermediate,108,https://example.com/resources/41,Physics|Mathematics,2025-10-09T07:42:45.989538
42,Video: Biology - Resource 42,A comprehensive video about Biology covering key concepts and practical examples.,Biology,Video,Advanced,13,https://example.com/resources/42,Philosophy|History,2025-08-10T07:42:45.989538
43,Video: Chemistry - Resource 43,A comprehensive video about Chemistry covering key concepts and practical examples.,Chemistry,Video,Advanced,98,https://example.com/resources/43,Chemistry|Mathematics|Biology,2025-05-28T07:42:45.989538
44,Video: Philosophy - Resource 44,A comprehensive video about Philosophy covering key concepts and practical examples.,Philosophy,Video,Advanced,110,https://example.com/resources/44,Literature,2025-07-06T07:42:45.989538
45,Book: History - Resource 45,A comprehensive book about History covering key concepts and practical examples.,History,Book,Intermediate,18,https://example.com/resources/45,Literature|Computer Science|History,2025-07-17T07:42:45.989538
46,Quiz: Mathematics - Resource 46,A comprehensive quiz about Mathematics covering key concepts and practical examples.,Mathematics,Quiz,Intermediate,91,https://example.com/resources/46,Physics|History,2025-10-05T07:42:45.989538
47,Book: Music - Resource 47,A comprehensive book about Music covering key concepts and practical examples.,Music,Book,Intermediate,88,https://example.com/resources/47,Art|Philosophy|History,2025-06-21T07:42:45.989538
48,Exercise: Biology - Resource 48,A comprehensive exercise about Biology covering key concepts and practical examples.,Biology,Exercise,Beginner,116,https://example.com/resources/48,Biology,2025-07-27T07:42:45.989538
49,Quiz: Chemistry - Resource 49,A comprehensive quiz about Chemistry covering key concepts and practical examples.,Chemistry,Quiz,Advanced,88,https://example.com/resources/49,History|Literature|Computer Science,2025-07-16T07:42:45.989538
50,Article: Literature - Resource 50,A comprehensive article about Literature covering key concepts and practical examples.,Literature,Article,Intermediate,37,https://example.com/resources/50,Biology|Literature,2025-09-09T07:42:45.989538
